,stock,ticker,price,change,change_percentage,group,capitalization
226,ΡΕΒΟΪΛ Α.Ε.Ε.Π. (ΡΕΒΟΙΛ),ΡΕΒΟΙΛ,1.3500,0.0200,1.5,Energy and Oil,29582009.0
228,ΓΡ. ΣΑΡΑΝΤΗΣ Α.Β.Ε.Ε. (ΣΑΡ),ΣΑΡ,8.8000,-0.0500,-0.56,Consumer and Retail,614921859.0
230,SATO ΑΝΩΝ. ΕΤ. ΕΙΔΩΝ ΓΡΑΦΕΙΟΥ & ΣΠΙΤΙΟΥ (ΣΑΤΟΚ),ΣΑΤΟΚ,0.0650,-0.0070,-9.72,Industry,4246207.0
233,CENTRIC ΣΥΜΜΕΤΟΧΩΝ Α.Ε. (ΣΕΝΤΡ),ΣΕΝΤΡ,0.3190,-0.0050,-1.54,Financial,32258494.0
235,ΣΙΔΜΑ ΜΕΤΑΛΛΟΥΡΓΙΚΗ ΑΕ (ΣΙΔΜΑ),ΣΙΔΜΑ,2.6800,-0.0200,-0.74,Metalurgy and plastic,36400358.0
236,SPACE HELLAS Α.Ε.  (ΣΠΕΙΣ),ΣΠΕΙΣ,10.0000,0.2000,2.04,Telematics,64565300.0
237,CPI Α.Ε.  (ΣΠΙ),ΣΠΙ,0.7250,-0.0300,-3.97,Technology,7182938.0
246,ΤΕΡΝΑ ΕΝΕΡΓΕΙΑΚΗ Α.Β.Ε.Τ.Ε. (ΤΕΝΕΡΓ),ΤΕΝΕΡΓ,13.2600,-0.0400,-0.3,Energy and Oil,1536238493.0
248,Σωλην. Λ. ΤΖΙΡΑΚΙΑΝ ΠΡΟΦΙΛ Α.Ε. (ΤΖΚΑ),ΤΖΚΑ,2.9600,-0.0100,-0.34,Metalurgy and plastic,9022080.0
257,ΦΙΕΡΑΤΕΞ ΑΦΟΙ ΑΝΕΖΟΥΛΑΚΗ Α.Ε. (ΦΙΕΡ),ΦΙΕΡ,0.5560,-0.0100,-1.77,Textiles,5673188.0
259,FLEXOPACK Α.Ε.Β.Ε.Π. (ΦΛΕΞΟ),ΦΛΕΞΟ,6.8000,-0.1000,-1.45,Industry,79696163.0
263,Φουρλής Α.Ε. (ΦΡΛΚ),ΦΡΛΚ,4.4250,-0.0650,-1.45,Consumer and Retail,230683852.0
265,ΧΑΙΔΕΜΕΝΟΣ Α.Ε.Β.Ε. (ΧΑΙΔΕ),ΧΑΙΔΕ,0.6900,-0.0050,-0.72,Other,5755118.0
